additive_id,name,note
130,Enzymatically decomposed rice bran,A substance composed mainly of phytic acid and peptides obtained from dewaxed rice bran.
320,Enzymatically decomposed rutin,A substance composed mainly of isoquercitrin obtained from rutin (extract).
89,Enzymatically hydrolyzed guar gum,A substance composed mainly of polysaccharides obtained by grinding and hydrolyzing guar seeds.
120,Enzymatically hydrolyzed licorice extract,A substance composed mainly of glycyrrhetinic acid-3-glucuronide obtained by enzymatically hydrolyzing a licorice extract.
117,Enzymatically modified hesperidin,A substance obtained by adding glucose to hesperidin using cyclodextrin glucosyl transferase.
115,Enzymatically modified isoquercitrin,A substance composed mainly of alpha-glucosylquercetin obtained from enzymatically decomposed rutin.
119,Enzymatically modified lecithin,A substance composed mainly of phosphatidylglycerol obtained from vegetable lecithin or yolk lecithin.
116,Enzymatically modified naringin,A substance composed mainly of α-glucosyinaringin obtained from naringin.
118,Enzymatically modified rutin (extract),A substance composed mainly of α-glucosylrutin obtained from rutin (extract).
161,Essential oil-removed fennel extract,A substance composed mainly of glucosyl sinapiralcohol obtained from fennel seeds.
38,Esterase,-
37,Exomaltotetraohydrolase,-
237,Ferulic acid,-
233,Ficin,-
251,Fractionated lecithin,"A substance composed mainly of sphingomyelin, phosphatidyl inositol, phosphatidyl ethanolamine and phosphatidyl choline obtained from vegetable lecithin or yolk lecithin."
244,Fructosyl transferase,-
238,Fukuronori extract,A substance composed mainly of polysaccharides obtained from FUKURO-NORI (Gloiopeltis furcata POSTEL et RUPR).
231,Furcellaran,A substance composed mainly of polysaccharides obtained from the whole algae of furcellaria (Furcellaria fastigiata HUD).
60,α-Galactosidase,-
61,β-Galactosidase (Lactase),-
275,Gallic acid,-
91,Gardenia blue,A substance obtained by adding β-glucosidase to the mixture of iridoid glycosides obtained from gardenia fruits and protein-decomposed substances.
92,Gardenia red,A substance obtained by adding β-glucosidase to the mixture of esterhydrolysates of iridoid glycosides obtained from gardenia fruits and protein-decomposed substances.
93,Gardenia yellow,A substance composed mainly of crocin and crocetin obtained from gardenia fruits.
141,Gellan gum,A substance composed mainly of polysaccharides obtained from the cultured solution of bacteria belonging to Pseudomonas elodea.
112,Gentian root extract,A substance composed mainly of amarogentin and gentiopicroside obtained from gentian roots or rhizomes (Gentiana lutea LINNE).
149,Ginger extract,A substance composed mainly of shogaol and zingerol obtained from ginger rhizomes.
95,Glucanase,-
96,Glucoamylase,-
97,Glucosamine,-
102,Glucose isomerase,-
103,Glucose oxidase,-
98,α-Glucosidase,-
99,β-Glucosidase,-
100,α-Glucosyltransferase,-
101,α-Glucosyltransferase-treated stevia,A substance composed mainly of α-glucosylsteviosides obtained from a stevia extract.
104,Glutaminase,-
86,Gold,-
50,Granite porphyry,-
242,Grape seed extract,A substance composed mainly of proanthocyanidins obtained from the seeds of American grapes or grapes.
240,Grape skin colour,A substance composed mainly of anthocyanins obtained from the pericarps of American grapes or grapes.
241,Grape skin-derived substance,A substance composed mainly of polyphenols obtained from the pericarps of American grapes or grapes.
106,Grapefruit seed extract,A substance composed mainly of fatty acids and flavonoids obtained from grapefruit seeds.
88,Guar gum,A substance composed mainly of polysaccharides obtained from guar seeds excluding Enzymatically hydrolyzed guar gum.
18,Gum Arabic,A substance composed mainly of polysaccharides obtained from the secretion of acacia trees.
55,Gum ghatti,A substance composed mainly of polysaccharides obtained from the secretion of ghatti trees (Anogeissus latifolia WALL.).
268,Haematococcus algae colour,A substance composed mainly of astaxanthin obtained from the whole alga of haematococcus (Haematococcus C.A.AGARCH).
271,Helium,-
270,Heme iron,-
269,Hemicellulase,-
266,Heptane,-
259,Hesperidin,-
258,Hesperidinase,-
254,Hexane,-
113,Higher fatty acid,A substance obtained by hydrolyzing animal or vegetable fats/oils or their hardened fats/oils.
162,Horseradish extract,A substance composed mainly of isothiocyanates obtained from horseradish roots.
224,Hyaluronic acid,-
155,Hydrogen,-
31,Inositol,-
30,Inulinase,-
32,Invertase,-
190,Iron,-
26,Isoamylase,-
28,Isomaltodextranase,-
27,Iso-α-bitter acid,A substance composed mainly of isohumulones obtained from hop flowers.
148,Jamaica quassia extract,A substance composed mainly of quassin and neoquassin obtained from the trunks/branches or bark of Jamaica quassia trees.
299,Japan wax,A substance composed mainly of glycerol palmitate obtained from the fruits of Japanese wax trees (Rhus succedanea LINNE).
49,Japanese persimmon colour,A substance composed mainly of flavonoids obtained from Japanese persimmon fruits.
142,Jelutong,A substance composed mainly of amyrin acetate and polyisoprenes obtained from the secretion of jelutong trees.
124,Kaoliang colour,A substance composed mainly of apigeninidin and luteolinidin obtained from kaoliang seeds.
47,Kaolin,-
67,Karaya gum,"A substance composed mainly of polysaccharides obtained from the secretion of KARAYA trees (Sterculia urens ROXB.) or silk cotton trees (Cochlospermum gossypium A.P.DeCandolle)."
227,L-Histidine,-
308,Lac colour,A substance composed mainly of laccaic acids obtained from the secretion of lac scale insects (Laccifer lacca KERR).
307,Lactoferrin concentrates,A substance composed mainly of lactoferrin obtained from mammals' milk.
306,Lactoperoxidase,-
17,L-Alanine,-
309,Lanolin,A substance composed mainly of esters of higher alcohols and α-hydroxylic acids obtained from waxy substances bearing the surface of sheep wool.
20,L-Arabinose,-
21,L-Arginine,-
7,L-Asparagine,-
8,L-Aspartic acid,-
145,L-Cystine,-
105,L-Glutamine,-
229,L-Hydroxyproline,-
73,Licorice extract,A substance composed mainly of glycyrrhizic acid obtained from the roots or rhizomes of Chinese licorice.
74,Licorice oil extract,A substance composed mainly of flavonoids obtained from the roots or rhizomes of Chinese licorice.
13,Linseed gum,A substance composed mainly of polysaccharides obtained from linseeds.
319,Linter cellulose,A substance composed mainly of cellulose obtained from cotton single pilus.
315,Lipase,-
316,Lipoxygenase,-
318,Liquid paraffin,-
325,L-Leucine,-
313,L-Lysine,-
250,L-Proline,-
311,L-Rhamnose,-
166,L-Serine,-
185,L-Tyrosine,-
314,Lysozyme,-
279,Macrophomopsis gum,A substance composed mainly of polysaccharides obtained from the cultured solution of microorganism belonging to Macrophomopsis.
282,Maltose phosphorylase,-
283,Maltotriohydrolase,-
323,Mannentake extract,A substance obtained by extraction from the fruit body of MANNENTAKE (Ganoderma lucidum KARST.).
281,Marigold colour,A substance composed mainly of xanthophylls obtained from marigold flowers.
280,Mastic gum,A substance composed mainly of masticadienonic acid obtained from the secretion of mastic trees.
294,Melaleuca oil,A substance composed mainly of essential oil obtained from melaleuca leaves.
292,Menaquinone (extract),A substance composed mainly of menaquinone-4 obtained from the cultured solution of bacteria belonging to Arthrobacter.
293,Mevalonic acid,-
278,Microcrystallin wax,-
225,Microcrystalline cellulose,A substance composed mainly of crystalline cellulose obtained from pulp.
226,Microfibrillated cellulose,A substance composed mainly of cellulose obtained by microfibrillating pulp or cotton.
154,Milt protein,A substance composed mainly of basic proteins obtained from fish testes.
285,Mixed tocopherols,A substance composed mainly of d-α- d-β- d-γ- and d-δ-tocopherols obtained from vegetable oils.
262,Monascus colour,A substance composed mainly of ankaflavin and monascolubrin obtained from the cultured solution of mould belonging to Monascus.
261,Monascus yellow,A substance composed mainly of xanthomonacins obtained from the cultured solution of mould belonging to Monascus.
295,Mousouchiku dry distillate,A substance obtained by dry distillation from the stems of MOUSOUCHIKU bamboo (Phyllostachys heterocycla MITF.).
296,Mousouchiku extract,A substance composed mainly of 2,6-dimethoxy-1,4-benzoquinone obtained from the stem skins of MOUSOU-CHIKU bamboo (Phyllostachys heterocycla MITF).
291,Muramidase,-
62,Mustard extract,A substance composed mainly of allyl isothiocyanate obtained from Indian mustard seeds.
287,Myrrh,A substance obtained by extraction from the secretion of myrrh trees.
211,Naringin,-
210,Naringinase,-
213,Nickel,-
182,Nitrogen,-
284,Non-calcinated calcium,"A substance composed mainly of calcium salts obtained by drying shells, pearl layers, coral, bones or eggshells."
42,Oligogalacturonic acid,-
173,Onion colour,A substance composed mainly of quercetin obtained from onion bulbs.
45,Orange colour,A substance composed mainly of carotene and xanthophylls obtained from the fruits or peels of AMA-DAIDAI (Citrus sinensis OSBECK).
44,Oregano extract,A substance composed mainly of carvacrol and thymol obtained from oregano leaves.
43,γ-Oryzanol,"A substance composed mainly of both esters consisting of each combination of sterols and ferulic acid, and triterpene alcohols and ferulic acid obtained from rice bran or germ oil."
137,Oxygen,-
41,Ozone,-
221,Palladium,-
219,Palm oil carotene,A substance composed mainly of carotene obtained from oil palm fruits.
223,Pancreatin,-
218,Papain,-
193,Paprika colour,A substance composed mainly of capsanthins obtained from capsicum fruits.
222,Paraffin wax,-
302,Peach gum,A substance composed mainly of polysaccharides obtained from the secretion of peach trees.
256,Pectin,-
257,Pectin digests,A substance composed mainly of galacturonic acid obtained from pectin.
255,Pectinase,-
265,Pepsin,-
267,Peptidase,-
220,Perlite,-
216,Peroxidase,-
232,Phaffia colour,A substance composed mainly of astaxanthins obtained from the cultured solution of yeast belonging to Phaffia.
84,Phellodendron bark extract,A substance composed mainly of berberine obtained from the bark of phellodendron trees (Phellodendron amurense RUPR.).
273,Phosphodiesterase,-
274,Phospholipase,-
234,Phytase,-
235,Phytic acid,A substance composed mainly of inositol hexaphosphate obtained from rice bran or corn seeds.
236,Phytin (extract),A substance composed mainly of magnesium inositol hexaphosphate obtained from rice bran or corn seeds.
217,Platinum,-
277,ε-Polylysine,-
276,Polyphenol oxidase,-
252,Powdered cellulose,A substance composed mainly of cellulose obtained by decomposing pulp excluding Microcrystalline cellulose.
253,Powdered rice hulls,A substance composed mainly of cellulose obtained from rice hulls.
157,Powdered stevia,A substance composed mainly of steviol glycosides obtained by grinding stevia leaves.
248,Propane,-
247,Protease,-
132,Psyllium seed gum,A substance composed mainly of polysaccharides obtained from the seed coats of blond psyllium.
246,Pullulan,-
245,Pullulanase,-
289,Purple corn colour,A substance composed mainly of cyanidine-3-glucoside obtained from corn seeds.
288,Purple sweet potato colour,A substance composed mainly of cyanidine acylglucosides and peonidin acylglucosides obtained from the tuberous roots of sweet potatoes.
290,Purple yam colour,A substance composed mainly of cyanidine acylglucosides obtained from yam tuberous roots.
90,Quercetin,-
160,Quicklime,-
85,Quillaia extract (Quillaja extract),A substance composed mainly of saponins obtained from the bark of quillaia trees.
305,Rakanka extract,A substance composed mainly of mogulosides obtained from rakanka fruits (Momordica grosvenori SWINGLE).
83,Redbark cinchona extract,"A substance composed mainly of quinidine, quinine and cinchonine obtained from the bark of redbark cinchona trees."
324,Rennet,-
310,Rhamsan gum,A substance composed mainly of polysaccharides obtained from the cultured solution of bacteria belonging to Alcaligenes.
129,Rice bran oil extract,A substance composed mainly of ferulic acid obtained from rice bran oil.
131,Rice bran wax,A substance composed mainly of myricyl lignocerate obtained from rice bran oil.
29,Rice straw ash extract,A substance obtained from the ashes of rice stems or leaves.
215,Roasted rice bran extract,A substance composed mainly of maltol obtained from roasted rice bran.
327,Rosemary extract,"A substance composed mainly of carnosic acid, carnosol and rosemanol obtained from rosemary leaves or flowers."
326,Rosin,A substance composed mainly of abietic acid obtained from the secretion of pine trees.
128,Rubber,A substance composed mainly of polyisoprenes obtained from the secretion of Pararubber trees.
72,Rumput roman extract,A substance composed mainly of capillin obtained from the whole grass of rumput roman.
322,Ruthenium,-
321,Rutin (extract),"A substance composed mainly of rutin obtained from the whole grass of AZUKI (Azukia angularis OHWl), the buds or flowers of Japanese pagoda trees or the whole buckwheat grass."
165,Sage extract,A substance composed mainly of carnosic acid and phenolic diterpenes obtained from salvia leaves.
146,Sandalwood red,A substance composed mainly of santalin obtained from the trunks/branches of red sandalwood trees.
46,Seaweed ash extract,A substance composed mainly of potassium iodide obtained from the ashes of brown algae.
127,Sesame seed oil unsaponified,A substance composed mainly of sesamolin obtained from sesame seeds.
139,Shellac,"A substance composed mainly of esters of aleuritic acid and shellolic acid or jalaric acid, obtained from the secretion of scale insects."
140,Shellac wax,A substance composed mainly of wax obtained from the secretion of scale insects.
87,Silver,-
110,Smoke flavourings,"A substance obtained by capturing the gas generated by burning sugar canes, bamboo, corn stalks or wood, or a substance obtained by dry distillation from such materials."
40,Sodium chloride-decreased brine (saline lake),A substance composed mainly of salts of alkaline metals or alkaline earth metals obtained by separating sodium chloride from saline lake water.
170,Soybean saponin,A substance composed mainly of saponins obtained from soybeans.
159,Sphingolipid,A substance composed mainly of sphingosine derivatives obtained from bovine brains or rice bran.
114,Spice extracts,"Substances obtained by extraction or steam-distillation from hemp seeds, asafetida, ajowan, anise, angelica, fennel, turmeric, allspice, oregano, orange peel, Chinese pepper, cassia, chamomil, mustard, cardamon, curry leaves, licorice, caraway, gardenia, cumin, cress, clove, poppy seeds, caper, pepper, sesame seeds, coriander, sassafras, saffron, savory, salvia, Japanese pepper, perilla, cinnamon, shallot, juniperberry, ginger, star anise, spearmint, horseradish, celery, sorrel, thyme, onion, tamarind, tarragon, chive, dill, capsicum, nutmeg, wormwood, nigella, carrot, garlic, basil, parsley, mint, vanilla, paprika, hyssop, fenugreek, peppermint, horsemint, marjoram, MYOGA, lavender, linden, lemongrass, lemonbalm, rose, rosemary, laurel or WASABI."
158,Spirulina colour,A substance composed mainly of phycocyanin obtained from the whole alga of spirulina.
156,Stevia extract,A substance composed mainly of steviol glycosides obtained by extraction from stevia leaves.
230,Sunflower seed extract,A substance composed mainly of isochlorogenic acid and chlorogenic acid obtained from sunflower seeds.
177,Talc,-
174,Tamarind colour,A substance composed mainly of flavonoids obtained from tamarind seeds.
175,Tamarind seed gum,A substance composed mainly of polysaccharides obtained from tamarind seeds.
179,Tannase,-
180,Tannin (extract),"A substance composed mainly of tannin and tannic acid obtained from Japanese persimmon fruits, Japanese gall, angelica powder, nutgall or silver wattle bark."
176,Tara gum,A substance composed mainly of polysaccharides obtained from the seeds of tara trees (Caesalpinia spinosa (MOL.)(O.KUNTZE)).
172,Taurine (extract),A substance composed mainly of taurine obtained from the viscera or meat of fish or mammals.
183,Tea dry distillate,A substance obtained by dry distillation from tea leaves.
184,Tea extract,A substance composed mainly of catechins obtained from tea leaves.
171,Thaumatin,A substance composed mainly of thaumatin obtained from the seeds of Thaumatococcus daniellii.
186,Thujaplicin (extract),A substance composed mainly of thujaplicins obtained from the trunks/branches or roots of HIBA trees (Thujopsis dolabrate SIEB. et ZUCC.).
300,Timber ash,A substance obtained by ashing bamboo or wood.
301,Timber ash extract,A substance obtained by extraction from timber ashes.
197,d-α-Tocopherol,-
198,d-γ-Tocopherol,-
199,d-δ-Tocopherol,-
196,Tocotrienol,-
200,Tomato colour,A substance composed mainly of lycopene obtained from tomato fruits.
207,Tororoaoi,A substance composed mainly of polysaccharides obtained from the roots of TORORO-AOI (Abelmoschus manihot MED.).
201,Tragacanth gum,A substance composed mainly of polysaccharides obtained from the secretion of tragacanth trees.
202,Transglucosidase,-
203,Transglutaminase,-
205,Trehalose,-
206,Trehalose phosphorylase,-
204,Trypsin,-
34,Turmeric oleoresin [Curcumin],A substance composed mainly of curcumin obtained from turmeric rhizomes.
36,Urease,-
35,Urushi wax,A substance composed mainly of glycerol palmitate obtained from the fruits of Japanese lacquer trees (Rhus verniciflua STOKES).
152,Vegetable carbon black,A substance composed mainly of carbon obtained by carbonizing plants.
153,Vegetable lecithin,A substance composed mainly of lecithin obtained from rape seeds or soybeans.
151,Vegetable sterol,A substance composed mainly of phytosterols obtained from oil seeds.
33,Welan gum,A substance composed mainly of polysaccharides obtained from the cultured solution of bacteria belonging to Alcaligenes.
297,Wood chip,A substance obtained by grinding the trunk/branches of Siberian filbert or BUNA (Fagus crenata BLUME).
76,Xanthan gum,A substance composed mainly of polysaccharides obtained from the cultured solution of bacteria belonging to Xanthomonas.
77,Xylanase,-
123,Yeast cell wall,A substance composed mainly of polysaccharides obtained from the cell walls of yeast belonging to Saccharomyces.
312,Yolk lecithin,A substance composed mainly of lecithin obtained from egg yolk.
304,Yucca foam extract,"A substance composed mainly of saponins obtained from the whole grass of yucca joshua (Yucca arborescens TREL.) or yucca schidigera (Yucca schidigera ROEZL ex ORLGIES)."
163,Zein,A substance composed mainly of vegetable proteins obtained from corn seeds.
164,Zeolite,-
328,Glazing Agent,Functional class name (光沢剤) — category-level declaration on JP labels
329,Flavoring,Functional class name (香料) — category-level declaration on JP labels
330,Emulsifier,Functional class name (乳化剤) — category-level declaration on JP labels
331,Thickener,Functional class name (増粘剤) — category-level declaration on JP labels
332,Gelling Agent,Functional class name (ゲル化剤) — category-level declaration on JP labels
333,Food Coloring,Functional class name (着色料) — category-level declaration on JP labels
334,Sweetener,Functional class name (甘味料) — category-level declaration on JP labels
335,Preservative,Functional class name (保存料) — category-level declaration on JP labels
336,Antioxidant,Functional class name (酸化防止剤) — category-level declaration on JP labels
337,Seasoning,Functional class name (調味料) — category-level declaration on JP labels
338,Acidulant,Functional class name (酸味料) — category-level declaration on JP labels
339,Leavening Agent,Functional class name (膨張剤) — category-level declaration on JP labels
340,Modified Starch,Functional class name (加工でん粉) — category-level declaration on JP labels
341,Starch Syrup,Functional class name (水あめ) — category-level declaration on JP labels
342,High-Fructose Corn Syrup,Functional class name (果糖ぶどう糖液糖) — category-level declaration on JP labels
343,Caramel Color,Functional class name (カラメル色素) — category-level declaration on JP labels
344,Annatto,Functional class name (アナトー) — natural food coloring
345,Sodium Nitrite,Functional class name (亜硝酸ナトリウム) — preservative/curing agent
346,Sodium Nitrate,Functional class name (硝酸ナトリウム) — preservative/curing agent
348,Safflower Pigment,Functional class name (ベニバナ色素/紅花色素) — natural food coloring
349,Carotene,Functional class name (カロテン) — natural food coloring
350,Anthocyanin,Functional class name (アントシアニン) — natural food coloring
351,Vitamin C (Antioxidant),Functional class name (ビタミンC/アスコルビン酸) — antioxidant
352,Gloss Agent,Alias for Glazing Agent (光沢剤) — alternative English translation
